protein,gene
CD14,CD14
CD73,NT5E
CTLA4,CTLA4
CD3,"CD3D, CD3E, CD3G"
CD19,CD19
CXCR3,CXCR3
CD4,CD4
CD16,"FCGR3A, FCGR3B"
CRTH2,PTGDR2
HLA-DR,
CD161,KLRB1
CD56,NCAM1
CCR7,CCR7
CD45RA,
FoxP3,FoxP3
CD127,IL7R
CD25,IL2RA
PD1,PDCD1
CD8,"CD8A, CD8B"
CD38,CD38
CD39,ENTPD1
CD45,PTPRC
CD68,CD68
CD206,MRC1
CD1c,CD1C
CD163,CD163
CD169,SIGLEC1
CD33,"CD33, SIGLEC3"
CD86,CD86
CD141,"THBD, BDCA3"
PDL1,"CD274, B7H1, PDCD1L1, PDCD1LG1, PDL1"
CD11b,"ITGAM, CD11B, CR3A"
CD204,"MSR1, SCARA1"
CD123,"IL3RA, IL3R"
CXCR2,"CXCR2, IL8RB"